,text,url,text_len,text_word_count
48,I must be hunting treasure because I’m digging your chest.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,58,10
49,I swear I am disease free.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,26,6
50,I was hoping you’re a sucker for a centerboard.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,47,9
51,I've got a sea monster in my pants!,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,35,8
52,I’ll put the wind in your sails if you raise my mast.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,53,12
53,"I’m not a sailor, but I have lots of STDs like one.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,51,12
54,"If all three of you come home with me, I'll name my ships after you.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,68,15
55,"If scurvy isn’t contagious, I think we should go home together.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,63,11
56,"If you have an anchor tattoo on your bicep, I will seriously marry you this second.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,83,16
57,"If you’re looking for dry land, you may be disappointed later.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,62,11
58,Is that a shark in your pocket or are you just happy to see me?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,63,15
59,It’s Fleet Week! Wanna have a one-night stand… seven times?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,59,10
60,"Kiss me, I'm salty!",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,19,4
61,Let's celebrate Columbus day by walking into someone's house and telling them we live there now.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,96,16
62,Let’s go out and BOTH drink like sailors.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,41,8
63,Maybe the Washington Redskins could celebrate Columbus Day by giving up their team name.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,88,14
64,My horrible boyfriend’s got me at the end of my rope. Can you throw me a pickup line?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,85,18
65,My peg-leg’s ribbed for your pleasure.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,38,6
66,Oh Santa Maria!,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,15,3
67,"Please, I've been at sea for five months, I beg you!",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,52,11
68,"Remember, Columbus didn't actually discover America, it was Kanye.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,66,9
69,S.O.S. (I’m Sold On Sailors.),https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,29,5
70,"See this hook? Variable speed with five alternate attachments, Baby.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,68,10
71,So how long have you been the government’s foxiest employee?,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,60,10
72,"That's not a compass in my pocket, I'm just glad to see you.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,60,13
73,The world is round.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,19,4
74,"There are plenty of fish in the sea, but I’m the only single one in this bar. Wanna make out?",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,93,20
75,What do you say we go behind this rock and seal the deal.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,57,13
76,When Columbus came to America there wasn't any government. Look how far we've come.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,83,14
77,When I see you my main sail raises.,https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,35,8
78,"Why don’t you come back to my place, and we can do some world shaking of our own.",https://pickupline.net/holiday-themed-pick-up-lines/columbus-day-and-sailor-pick-up-lines/,81,18
79,Are those pants on sale? Because they're 100% off at my place!,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,62,12
80,Are you a store Black Friday flyer? Because you turn me on.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,59,12
81,"Baby, you are like a Black Friday deal... worth the wait.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,57,11
82,Black Friday = Broke Saturday,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,29,5
83,Black Friday = The Day People Spend Money They Don't Have On Things They Don't Need.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,84,16
84,Black Friday is best enjoyed by deleting names of people who sent stupid thanksgiving messages.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,95,15
85,Black Friday is so hypocritical. one day you're thankful for everything you have then the next day you're fighting over TV's & stuff on sale,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,140,25
86,Black Friday is when I drive to the local KFC for a gang bang.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,62,14
87,Black Friday night landed me with medical bills that cost me more than what I saved.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,84,16
88,Black Friday reminds me so much of bowling because the people ahead of me remind me of the pins that I wish to knock out.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,121,25
89,Black Friday. You know what? I don't see color. I just see people. I will be calling it Friday.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,95,19
90,"Careful, don't run too fast, or you might just trample my heart.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,64,12
91,Come over on Black Friday. We can have sex and left-over from Thanksgiving dinner. Did I mention my mom is a great cook.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,120,23
92,Dang girl don't you know it's Black Friday? Those pants should be 100% off.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,75,14
93,"EVERY day is ""Black Friday"" if you're a Kardashian.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,51,9
94,Every Friday was Black Friday to me.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,36,7
95,"For a lot of thick white girls, every Friday is Black Friday.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,61,12
96,"Girl, I'd dig through a $5 DVD bin for your favorite movie on Black Friday if it'd win your heart.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,98,20
97,"Hey, baby. Do you like Black Friday? Because it’s always black in my man cave.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,78,15
98,"I am crazy about you like how I am sucker for Black Friday shopping,",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,68,14
99,I am staying home on Black Friday. How about you?,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,49,10
100,I have been waiting behind you in line for four hours. Nice ass.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,64,13
101,I see you waiting in line too. I can help you kill some time.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,61,14
102,I want Black Friday prices and short lines everyday.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,52,9
103,I would line up outside Walmart for you on Black Friday.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,56,11
104,I'd give up my HD TV for a smooch from you.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,43,11
105,I'd like to get caught in a revolving door with you.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,52,11
106,"I'd wait for days, in the freezing cold, just for you... and a new TV.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,70,15
107,I'll be celebrating Black Friday in my traditional way.... by completely ignoring it.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,85,13
108,I'm a great bargain hunter.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,27,5
109,I'm having a sale in my bedroom. My clothes are 100% off.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,57,12
110,If someone advertises a Black Friday beer sale I will camp out until I freeze,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,77,15
111,If you're scared of catching a cold you can always come sleep in my tent.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,73,15
112,It is getting cold. Your hands must be freezing. Want to come inside my tent? I know a great way to warm you up.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,112,24
113,Love for sale: $9.99 for a smoking hot night.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,45,9
114,Meeting you is like getting the best deal without waiting in the Black Friday lines.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,84,15
115,My feelings for you is greater than the Black Friday line.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,58,11
117,"Probable Headline: ""1000 Americans killed trying to get twinkies on Black Friday.""",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,82,12
118,"Push, shovel, grab, tackle, and yell.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,37,6
119,Skip the Black Friday line. You can have me for free.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,53,11
120,That's a great outfit. How can I get it 90% off?,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,48,11
121,Why the hell don't liquor stores have Black Friday sales?,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,57,10
122,Would you mind holding my place in line I want to,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,49,11
123,You are the best Black Friday of my life.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,41,9
124,You can't put a price on love like ours.,https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,40,9
125,"Your clearance rack looks awesome, if ya know what I mean.",https://pickupline.net/holiday-themed-pick-up-lines/black-friday-pick-up-lines/,58,11
126,"Baby, I can make your Plymouth Rock!",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,36,7
127,"Damn, girl, you’ve got some fine yams.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,38,7
128,"Dear Turkeys, don't worry... they only love us for our breasts too. Sincerely, women.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,85,14
129,Do you wanna ride my mayflower?,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,31,6
130,"For the first time, we are going to have a HAPPY Thanksgiving. This year, I am stuffing the turkey with Prozac!",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,111,21
131,"Happy Turkey Day, America! Don't forget to name the turkey and make everyone uncomfortable.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,91,14
132,Hope your Turkey is moist and your stuffing in fluffy and when you're done eating you'll be nice and stuffy.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,108,20
133,I can give you something to really be thankful about!,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,53,10
134,"I checked the meat thermometer, and you’re officially one hot bird.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,67,11
135,I have a thing for butterballs.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,31,6
136,"I never understood why the Lions and Cowboys always get to play on Thanksgiving. Shouldn't the Patriots play the Redskins, and then steal their stadium.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,152,25
137,I put the “pump” in pumpkin pie.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,32,7
138,I'd love to get you in my gravy boat.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,37,9
139,"I'd love to stuff your turkey, sweetheart.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,42,7
140,I'm a real master baster.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,25,5
141,I'm excited about Thanksgiving because I love unwelcome parenting advice from relatives I see twice a year.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,107,17
142,I've got a little something for you to gobble on.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,49,10
143,I’d love to get you in my gravy boat.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,37,9
144,"I’d love to stuff your turkey, sweetheart.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,42,7
145,I’m the opposite of a turkey… I cook for four and a half hours after my timer pops!,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,83,18
146,I’ve got a little something for you to gobble on.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,49,10
147,"If I was a turkey, I'd be doing everything I could to taste terrible right now.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,79,16
148,If you didn't want to sit at the kids' table then you shouldn't have seen the new Twilight movie.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,97,19
149,Let's play pilgrims and native Americans; I'll lure you over under false pretenses and we'll feast.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,99,16
150,Mmm cranberry sauce,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,19,3
151,"My aunt is bringing her homemade cranberry sauce to our Thanksgiving dinner, and my uncle is bringing his blatant racism!",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,121,20
152,My cooking is so bad my kids thought Thanksgiving was to commemorate Pearl Harbor.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,82,14
153,My corn always wear a husk,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,26,6
154,No need to get up for seconds! I’m more than happy to let you gobble off of my plate!,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,85,19
155,"On Thanksgiving Day, all over America, families sit down to dinner at the same moment ..... halftime.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,101,17
156,"So, technically we’re not blood related, right? Because those juicy breasts are making me hungry!",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,97,15
157,Thanksgiving dinner isn’t the only thing that will make you wanna loosen your belt.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,83,14
158,Thanksgiving is an emotional holiday. People travel thousands of miles to be with people they only see once a year. And then discover once a year is way too often. -Johnny Carson,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,178,32
159,Thanksgiving is great because people tend to speak less when food is lodged in their mouths.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,92,16
160,"The only thing sweeter than pumpkin pie is you, baby!",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,53,10
161,There is a special place in hell for people that play Christmas music before Thanksgiving.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,90,15
162,"There's only one cavity that I want to stuff, if you know what I mean.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,70,15
163,"They should change the name of Thanksgiving to something more fitting like say, Turkeypocolypse or Stuffing-cide.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,113,16
164,This turkey looks great. So are you a breast man or a thigh man?,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,64,14
165,Those juicy breasts are making me hungry!,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,41,7
166,Tying the legs together will keep the inside moist.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,51,9
167,Wanna take a look at my meat thermometer?,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,41,8
168,Want to break the wishbone? I’m wishing for a date with you.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,60,12
169,Want to really freak someone out? Add 2 extra turkey legs to the turkey when it's in the oven.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,94,19
170,When you're around,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,18,3
171,"Why don’t you put down that second piece of pie, pretty pilgrim. I think it’s high time you discovered my Plymouth rock.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,120,22
172,Would you like to try some of this dark meat?,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,45,10
173,"Wow, that's one fantastic spread!",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,33,5
174,"You can call me Tryptophan, because you'll be all sleepy after I'm done with you!",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,81,15
175,You don't need Thanksgiving to hate your family.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,48,8
176,You have to smoke a couple of bowls before Thanksgiving dinner. I can't think of a better time to have the munchies.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,116,22
177,"You put the ""ass"" in ""casserole""",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,32,6
178,You've got the juiciest breasts in town.,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,40,7
179,"You’re like Thanksgiving dinner — delicious, satisfying, and after we’re done, I’ll probably fall asleep.",https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,105,15
180,You’re the only girl I'd ever share my secret method to moist turkey with!,https://pickupline.net/holiday-themed-pick-up-lines/thanksgiving-pick-up-lines/,74,14
181,A look from you leaves me paralyzed.,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,36,7
182,"Baby, you be Panama. And Imma underpay Irish workers to dig a trench through you.",https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,81,15
183,"Baby, you must be German... Because you sure started the battle of my bulge.",https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,76,14
184,Be my valentine! Yes You Can,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,28,6
185,"Did it hurt when you fell from heaven? Because under my health care plan, 100% of your hospital costs will come directly from a special account set up by the government.",https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,169,31
187,Here's my corollary to the Monroe Doctrine: Speak softly and carry my big stick.,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,80,14
190,I did not have sexual relations with that woman. But I will have them with you!,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,79,16
191,"I didn't find any weapon of mass destruction, but I did find you.",https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,65,13
192,I was a Supreme Court Justice and a President. I'm pretty good at holding multiple positions.,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,93,16
194,I'll proclaim your Emancipation all night long.,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,47,7
195,"I'm against slavery, but I do love bondage",https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,42,8
196,I'm gonna Barack your world!,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,28,5
197,I'm like the Vietnam War. Way longer than you thought I'd be.,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,61,12
198,I’ll put my John Hancock on your bar tab if you hang out with me for a while.,https://pickupline.net/holiday-themed-pick-up-lines/presidents-day-pick-up-lines/,77,18
